,name,address,kurtosis_oxygen,occupation,pregnant,education-num,skewness_glucose,mean_glucose,std_oxygen,capital-gain,skewness_oxygen,kurtosis_glucose,personal_info,fnlwgt,class,std_glucose,income,mean_oxygen,hours-per-week,capital-loss,workclass
13,Eric Ragland,"1246 Gutierrez Road
Lake Evanside, MI 42294",8.750496392, Other-service,f,9.0,-0.17251288,129.90625,22.72505413,0.0,81.21538915,0.038773097,"White|United-States
HS-grad -- Married-civ-spouse|Wife",207940.0,0.0,48.62217818, <=50K,3.319397993,30.0,0.0, Private
14,Ron Kim,"29802 Katelyn Cove Suite 016
Whiteborough, MI 17769",5.533563572, Prof-specialty,f,14.0,0.274223887,105.3671875,33.41443244,0.0,30.05607098,0.406818295,"White|United-States
Masters -- Divorced|Unmarried",132551.0,1.0,44.84415219, <=50K,6.287625417999999,35.0,0.0, State-gov
15,Thomas Sneeden,"0276 Hurst Radial
Payneton, ME 50180",3.2028434210000003, Transport-moving,f,10.0,-0.128191295,121.484375,41.77001844,0.0,9.07135867,-0.005497673000000001,"Black|United-States
Some-college -- Never-married|Not-in-family",430084.0,0.0,4909.715884, <=50K,12.97742475,40.0,0.0, Private
16,Fred Schaffer,"27713 Reilly Locks
Timothybury, OR 40625",12.21485975, Craft-repair,f,10.0,-0.420434517,119.3203125,15.55304073,0.0,163.6284622,0.18313758600000002,"White|United-States
Some-college -- Married-civ-spouse|Husband",209460.0,0.0,-5442.582877000001, <=50K,1.558528428,47.0,1485.0, Private
17,Ronald Hahn,"0780 Robert Ford Apt. 721
North Paulview, MA 94771",7.320364522999999, Sales,f,7.0,-0.18464857699999998,,22.38530513,0.0,59.91720072,0.025665142000000002,"White|United-States
11th -- Never-married|Own-child",280603.0,0.0,50.22729587, <=50K,3.838628763,30.0,0.0, Private
18,Andrew Johnston,"20427 Ashley Falls
North Scottchester, SD 91736",11.68206794, Adm-clerical,f,11.0,0.25922918100000003,119.0546875,14.48604586,0.0,158.7660883,-0.036658122,"White|United-States
Assoc-voc -- Never-married|Not-in-family",144322.0,0.0,42.12913715, <=50K,1.5903010030000002,43.0,0.0, Local-gov
19,Steven Schrum,"500 Sullivan Manors Suite 328
East Michael, TX 65898",0.887801435, Sales,f,12.0,-1.5981445859999999,129.8203125,42.22964277,0.0,0.744786776,-0.101174035,"White|United-States
Assoc-acdm -- Married-civ-spouse|Husband",33521.0,0.0,85.32084974, >50K,107.0585284,45.0,0.0, Private
20,Raymond Falcon,"1974 Strickland Gateway
Jacksonton, MD 60124",9.401752361, Protective-serv,f,9.0,1.9878720980000002,??,17.28863847,0.0,100.3917478,0.682265248,"White|United-States
HS-grad -- Separated|Not-in-family",199763.0,0.0,37.13392938, <=50K,2.357859532,81.0,0.0, Private
21,Gerald Dyas,"792 Megan Courts Suite 042
East Karen, NM 38403",9.840090921, Craft-repair,f,9.0,1.278957724,106.5078125,18.92533797,2290.0,102.0989603,0.12760024,"White|United-States
HS-grad -- Married-civ-spouse|Husband",179400.0,0.0,37.71086467, <=50K,2.1279264209999997,20.0,0.0, Self-emp-not-inc
22,Jerome Sandiford,"772 Brent Mission Suite 924
New Tyrone, SC 32109",6.059849442999999, Craft-repair,f,9.0,-0.034468391,130.0859375,27.99747644,0.0,38.15478586,-0.04658483099999999,"White|United-States
HS-grad -- Never-married|Not-in-family",78170.0,0.0,46.40262441, <=50K,5.050167224,42.0,0.0, Private
23,Seth Frentzel,"PSC 3019, Box 7327
APO AE 43094",9.129480848, ?,f,9.0,0.33842231,135.9609375,15.47136251,0.0,101.9920824,0.081544615,"White|United-States
HS-grad -- Never-married|Own-child",171964.0,0.0,48.07585191, <=50K,2.195652174,20.0,1602.0, ?
24,Robert Givens,"74339 Gutierrez Ville Suite 148
Penaland, WY 20848",10.74533651, ?,f,3.0,1.089882188,84.2890625,16.26916268,0.0,124.90948470000001,0.736774363,"White|Mexico
5th-6th -- Married-civ-spouse|Husband",204840.0,0.0,45.67345926, <=50K,1.718227425,56.0,0.0, ?
25,Brian Burnett,"1565 Andrew Underpass Suite 201
Lake Destiny, WY 94455",2.8978800060000003, Craft_repair,FALSE,6.0,25.44801294,23.7734375,46.07881979,5178.0,8.275090919,4.796125205,"White|United-States
10th -- Married-civ-spouse|Husband",250206.0,1.0,34.27946152, >50K,17.5861204,40.0,0.0, Private
26,Michael Fairley,"018 Sarah Shore Apt. 014
East Joshua, NE 14163",9.953692104, Transport-moving,F,9.0,-0.5518452739999999,??,13.20426497,0.0,139.46687230000003,-0.009090614,"White|United-States
HS-grad -- Married-civ-spouse|Husband",27153.0,0.0,-5277.456512, <=50K,2.220735786,40.0,0.0, Private
27,Irwin Micale,"5166 Brady Walks
East Stacey, SD 44467",7.106856426, Other-service,f,7.0,-0.0782224,121.09375,25.77840638,0.0,53.12394169,0.23951935100000002,"White|United-States
11th -- Married-civ-spouse|Husband",178983.0,0.0,49.36288419, <=50K,4.431438127,40.0,0.0, Private
28,Roy Then,"8241 Stephanie Trail
Morenobury, MA 36060",0.5392202460000001, Prof_specialty,f,14.0,22.49598839,30.0546875,83.94864647,0.0,-1.097402939,4.544322404,"White|United-States
Masters -- Married-civ-spouse|Husband",211654.0,1.0,33.46880744, >50K,81.03177258,40.0,0.0, Local-gov
29,Raul Kelly,"81007 Wilson Village
Port Rachelborough, WY 26279",9.490378827999999, ?,FALSE,4.0,-0.10025339800000001,130.03125,17.92813911,0.0,103.56702259999999,0.005599218,"White|United-States
7th-8th -- Married-civ-spouse|Husband",186030.0,0.0,51.30423007, <=50K,2.5953177259999998,32.0,0.0, ?
30,Virgil Gaston,"22211 Edwards Corners
Rodriguezborough, HI 35247",11.95311368, Handlers-cleaners,f,9.0,0.504809886,111.4609375,16.43766224,0.0,150.9961696,0.241592513,"White|United-States
HS-grad -- Never-married|Own-child",197114.0,0.0,43.9198315, <=50K,1.607023411,28.0,0.0, Private
31,Victor Sloan,"466 Kyle Inlet
New Louisbury, UT 95433",7.31819003,,f,14.0,-0.299685533,,18.28242421,2202.0,66.41779302,,"Black|?
Masters -- Divorced|Not-in-family",157043.0,0.0,52.69690972, <=50K,,30.0,0.0, Local-gov
32,Stephen Loeb,"115 Brittany Lake Apt. 429
Lake Max, NJ 87303",12.30573522, Machine-op-inspct,f,9.0,0.365076429,108.9921875,12.84602487,0.0,182.79246740000002,0.19551909,"White|United-States
HS-grad -- Never-married|Own-child",182866.0,0.0,46.54257058, <=50K,1.523411371,40.0,0.0, Private
33,Danny Wagner,"PSC 5858, Box 7189
APO AE 51538",14.78409663, Other_service,f,13.0,-0.178759196,,13.10749733,0.0,232.5089145,-0.170875992,"White|United-States
Bachelors -- Never-married|Not-in-family",187112.0,0.0,45.65784081, <=50K,0.9807692309999999,45.0,0.0, Private
34,Larry Patterson,"238 Rachel Keys Suite 188
Amychester, CT 34205",8.999812347, Exec-managerial,f,10.0,-0.4317310720000001,,17.44649132,0.0,95.50756698,-0.08633835599999999,"White|United-States
Some-college -- Married-civ-spouse|Husband",204470.0,0.0,51.78161717, >50K,2.8352842810000003,36.0,0.0, Self-emp-inc
35,Alexander Ramon,"80904 Johnson Forks
East Johnnychester, NE 59766",6.075504187000001, Prof-specialty,f,13.0,0.876418897,,31.04856136,0.0,36.24292221,0.479196448,"White|United-States
Bachelors -- Married-civ-spouse|Husband",336007.0,1.0,4757.021884000002, >50K,5.2090301,40.0,2246.0, Private
36,James Dumas,"31905 David Field
Hillview, NY 43568",8.491421178, Craft-repair,f,9.0,0.076017502,102.71875,15.33104093,0.0,94.3365166,0.38524028899999996,"White|United-States
HS-grad -- Never-married|Own-child",177675.0,0.0,47.00663808, <=50K,2.658862876,40.0,0.0, Private
37,William Hope,"Unit 1906 Box 9918
DPO AA 04281",9.199513421, Handlers-cleaners,FALSE,4.0,0.20994169199999999,111.1953125,21.99934068,0.0,88.17385086,0.43431877700000004,"White|United-States
7th-8th -- Married-civ-spouse|Husband",194189.0,1.0,44.15297601, <=50K,2.652173913,40.0,0.0, Private
38,Charlie Cross,"36481 Jeffrey Forges
Marciafort, NJ 87135",5.834901687, Exec-managerial,f,9.0,0.05934772,,22.30520374,0.0,36.77571013,0.358964327,"White|United-States
HS-grad -- Married-civ-spouse|Husband",272950.0,0.0,49.71983765, <=50K,4.157190635,40.0,0.0, Private
39,Courtney Mackey,"266 Vargas Glen
Port Bonnie, NY 17787",14.8422644, Craft-repair,f,12.0,0.105784536,,12.0495586,0.0,245.358921,0.232841575,"White|United-States
Assoc-acdm -- Never-married|Not-in-family",248612.0,0.0,48.99156833, <=50K,0.945652174,30.0,0.0, Private
40,Robert Gerke,"820 Mark Drives
Michaelchester, OH 64396",22.73564204, Adm_clerical,f,13.0,-0.688680996,132.9296875,9.263483658,1055.0,567.1601400000002,-0.436386591,"White|United-States
Bachelors -- Never-married|Own-child",205940.0,0.0,60.86770793, <=50K,0.614548495,30.0,0.0, Private
41,Randy Woo,"107 Kathleen Bridge
North Zacharystad, NJ 35105",8.975832521000001, Prof-specialty,f,14.0,0.28509659800000003,143.296875,19.34006646,0.0,89.34475485,-0.226946184,"White|United-States
Masters -- Divorced|Unmarried",289669.0,0.0,45.0451786, >50K,2.869565217,40.0,2547.0, Private
42,Michael Hintz,"Unit 2178 Box 4941
DPO AP 69245",4.002470455, Adm-clerical,f,9.0,4.47202413,,43.60001183,0.0,14.6379967,1.458136946,"White|United-States
HS-grad -- Never-married|Own-child",147884.0,1.0,-3826.172254, <=50K,10.77675585,40.0,0.0, Private
43,Michael Livesay,"653 Paul Ridge
Michaelside, NM 06739",16.48789423, Adm-clerical,f,9.0,0.030878067999999998,117.2578125,11.49825164,0.0,320.6702352,0.121773594,"White|United-States
HS-grad -- Married-civ-spouse|Wife",194908.0,0.0,-4289.326253, <=50K,1.150501672,40.0,0.0, Private
44,Gregory Plunkett,"PSC 5622, Box 0282
APO AA 15855",18.50064207, Adm-clerical,f,9.0,0.828258756,,11.33867793,0.0,370.93746170000003,0.493768649,"White|United-States
HS-grad -- Never-married|Other-relative",140219.0,0.0,42.42743619, <=50K,0.7173913040000001,40.0,0.0, Private
45,Jonathan Matchett,"633 Parsons Prairie
West Amanda, VT 48757",13.55405334, Prof-specialty,f,13.0,0.156486147,112.0625,14.06535177,0.0,206.3294296,0.29354274399999997,"White|United-States
Bachelors -- Married-civ-spouse|Husband",208451.0,0.0,46.45507743, >50K,1.3486622069999998,40.0,0.0, Private
46,Andrew Wilson,"808 Tracy Cove Apt. 983
East Ronnieport, AZ 11510",8.438091342, Prof-specialty,F,16.0,0.025553149,115.0546875,22.270997100000002,0.0,75.89080119,-0.07292095900000001,"White|United-States
Doctorate -- Never-married|Not-in-family",424094.0,0.0,48.57939838, <=50K,3.059364548,40.0,0.0, State-gov
47,Clinton Whitley,"81455 Martin Parkways Apt. 266
New Matthewport, IL 12135",7.998730275, Adm-clerical,f,10.0,0.774129958,95.40625,17.17838182,0.0,77.38941999,0.397055871,"White|United-States
Some-college -- Divorced|Not-in-family",50567.0,0.0,42.65256394, <=50K,2.823578595,32.0,0.0, Private
48,Daniel Miller,"51301 Schwartz Extensions Suite 847
South Stephenmouth, CT 02476",10.95409368, Machine-op-inspct,f,9.0,1.177780035,89.0546875,12.96341477,0.0,160.6677306,1.035462208,"White|United-States
HS-grad -- Married-civ-spouse|Husband",74275.0,1.0,43.84388295, <=50K,2.006688963,40.0,0.0, Private
49,David Tacadina,"534 Cunningham Springs
Williamsland, MN 88735",, Machine-op-inspct,f,3.0,0.8534196609999999,103.3515625,,0.0,144.6551027,0.3986719970000001,"White|?
5th-6th -- Never-married|Not-in-family",,0.0,40.57835588, <=50K,2.050167224,40.0,0.0,
50,Thomas Grace,"268 Marcus Creek
Port Kaitlynview, AK 77493",7.051001707999999, Exec-managerial,FALSE,13.0,1.166484273,,25.56715868,0.0,50.80468299,0.391266771,"White|United-States
Bachelors -- Married-civ-spouse|Husband",216583.0,0.0,41.70075689, <=50K,3.91722408,43.0,0.0, Private
51,Gregory Vandeventer,"Unit 5962 Box 4708
DPO AE 03590",0.115883054, Craft-repair,f,9.0,20.29698008,36.7109375,74.62119531,0.0,-0.819637695,4.363306569,"White|United-States
HS-grad -- Married-civ-spouse|Husband",79531.0,1.0,38.26024216, <=50K,107.2123746,45.0,0.0, Private
52,Edwin Lemoyne,"437 Floyd Corners
Wesleyfurt, VA 78009",6.296333865, Sales,f,9.0,0.176994161,124.09375,27.24823737,0.0,40.38084144,0.165124228,"Black|United-States
HS-grad -- Never-married|Unmarried",188864.0,0.0,48.62217818, <=50K,4.6329431439999995,20.0,0.0, Private
53,Douglas Blanco,"722 Erica Canyon Apt. 127
New Leslie, WV 27592",9.849795815, Exec-managerial,f,10.0,0.79390541,113.75,13.09127263,0.0,140.7579618,0.325639419,"Black|United-States
Some-college -- Married-civ-spouse|Husband",396878.0,0.0,-4211.33144, <=50K,2.339464883,25.0,0.0, Self-emp-not-inc
54,Randy Baptiste,"2751 Harris Crossroad
West Ashley, CA 30311",8.574385111, Handlers-cleaners,f,7.0,3.534867338,102.1484375,19.25621748,3942.0,81.31481109999999,0.539796312,"White|United-States
11th -- Married-civ-spouse|Husband",243569.0,0.0,31.689925899999995, <=50K,2.7382943139999996,40.0,0.0, Private
55,Andrew Wright,"9280 Gonzalez Bridge Apt. 657
Autumnshire, CO 07971",12.08396999, Sales,f,7.0,0.7185670759999999,130.3203125,17.73614047,0.0,152.97912040000003,-0.036270103,"White|United-States
11th -- Divorced|Own-child",30226.0,0.0,44.74038542, <=50K,1.6839464880000001,40.0,0.0, Private
56,John Schultz,"401 Bradley Way Suite 299
Haynesmouth, MS 84865",4.831913773, Sales,f,10.0,0.88564224,93.7421875,27.46150908,0.0,24.76333083,0.511233107,"White|United-States
Some-college -- Never-married|Own-child",167149.0,0.0,44.56214868, <=50K,6.222408027,25.0,0.0, Private
57,Sean Smith,"33921 Blake Fields Apt. 374
South Matthew, AR 64323",10.30828228, Prof-specialty,f,13.0,-0.168790761,124.046875,17.45343263,0.0,114.76183700000001,0.034262891000000004,"White|United-States
Bachelors -- Never-married|Not-in-family",112835.0,0.0,48.95722932, <=50K,2.047658863,40.0,0.0, Private
58,Francis Corbett,"2311 Ian Plain
Weaverborough, DC 35211",7.53957879, Craft-repair,f,9.0,0.33184310899999997,100.234375,16.26948221,0.0,74.74023796,0.37393837700000004,"White|United-States
HS-grad -- Married-civ-spouse|Husband",76893.0,0.0,45.93175719, <=50K,2.97909699,40.0,0.0, Private
59,Eric Steuer,"737 Booth Run
Lake Sherrybury, IN 15806",9.125877691, Farming-fishing,f,10.0,-0.009648407,107.609375,17.26666489,0.0,93.61228819,0.22904231100000005,"White|United-States
Some-college -- Never-married|Own-child",214542.0,0.0,46.91085868, <=50K,2.321070234,40.0,0.0, Private
60,Kenneth Taormina,"602 Henderson Glen
Port Carrie, OK 14956",9.30173415, Sales,f,10.0,-0.47308529299999996,108.8203125,19.4694241,0.0,94.65563698,0.396478925,"White|United-States
Some-college -- Widowed|Not-in-family",112959.0,0.0,58.01595061, <=50K,2.873745819,40.0,0.0, Private
61,David Rush,"942 Guerra Hollow Apt. 547
South Meganville, SC 78252",4.36817959, Sales,f,8.0,1.299760009,92.6875,33.29672195,0.0,19.27459313,0.483733298,"White|United-States
12th -- Never-married|Own-child",204752.0,0.0,40.58781952, <=50K,8.284280936,32.0,0.0, Private
62,Robert Reider,"70483 Parks Falls Suite 406
North Bradleymouth, DC 17187",7.7185152310000005, Sales,FALSE,9.0,0.321064448,93.6953125,25.42831352,0.0,60.23817598,0.582247056,"White|United-States
HS-grad -- Married-civ-spouse|Husband",203828.0,0.0,49.3465992, <=50K,3.480769231,45.0,0.0, Self-emp-not-inc
63,Percy Winston,"346 Robin Inlet Suite 154
Darrylland, WA 94759",0.39681861700000004, ?,f,9.0,14.01025025,21.3828125,61.94282195,0.0,-0.438507576,3.7673499930000003,"Black|United-States
HS-grad -- Never-married|Unmarried",230856.0,1.0,-4520.459065999999, <=50K,97.87792642,40.0,0.0, ?
64,Daniel Strahle,"696 Miller Skyway
Byrdmouth, ND 27175",1.484328018, Adm_clerical,f,11.0,29.27567544,23.4375,62.68876009,7688.0,1.424919181,5.186538665,"White|United-States
Assoc-voc -- Married-civ-spouse|Wife",95047.0,1.0,31.92783611, >50K,41.97491639,44.0,0.0, Private
65,Brent Ketterman,"937 Garza Mount
New Annaport, NH 37591",8.135837507, Exec-managerial,f,13.0,1.13471116,,17.58315593,0.0,78.40888411,0.67186805,"White|United-States
Bachelors -- Married-civ-spouse|Wife",188503.0,0.0,44.21270870000001, >50K,2.877926421,60.0,0.0, Private
66,John Hart,"Unit 0995 Box 2264
DPO AE 51337",16.04164797, Exec_managerial,F,10.0,2.4770552390000002,,13.43261863,0.0,261.5004364,0.468973336,"White|Germany
Some-college -- Married-civ-spouse|Husband",323044.0,0.0,35.69182329, >50K,0.8570234109999999,45.0,0.0, Private
67,Ernest Asmus,"06545 Kelly Knolls
Port Diane, CO 42174",24.45768569, Adm_clerical,f,9.0,2.970313093,77.1796875,8.601680784,0.0,670.2778544,0.8376423209999999,"White|United-States
HS-grad -- Never-married|Not-in-family",169699.0,0.0,36.88843687, <=50K,0.456521739,40.0,0.0, Private
68,Clarence Spina,"0357 Martinez Fort Suite 239
Richardside, WV 24140",22.43220606, ?,f,4.0,0.751712906, ??,9.733834152,0.0,532.6815624,-1.2516038059999999,"White|United-States
7th-8th -- Separated|Own-child",346014.0,0.0,58.50651788, <=50K,0.564381271,20.0,0.0, ?
69,John Williamson,"303 Teresa Roads
West Victorhaven, OK 65267",0.45220617799999996, Adm-clerical,f,10.0,21.44777272, ??,79.81795917,0.0,-0.9240164190000001,4.499440752,"White|United-States
Some-college -- Never-married|Other-relative",176321.0,1.0,36.52498075, <=50K,92.89297659,20.0,0.0, Private
70,Tom Robinson,"58829 David Trace Suite 836
Holderburgh, RI 52866",3.470588382, Prof-specialty,f,13.0,20.34046798,49.0078125,46.73241804,0.0,11.44099546,3.9535188789999998,"White|United-States
Bachelors -- Married-civ-spouse|Husband",348960.0,1.0,32.51237651, >50K,14.65301003,36.0,0.0, State-gov
71,Michael Knapp,"9092 Elizabeth Harbor Apt. 691
Port David, NE 26016",4.526475903, Craft-repair,f,10.0,-0.07985759,,32.5024082,0.0,20.55551215,0.024258296000000002,"Asian-Pac-Islander|Cambodia
Some-college -- Never-married|Not-in-family",292472.0,0.0,45.36422694, <=50K,7.795986622000001,45.0,1876.0, Private
72,John Mercer,"5013 Lopez Shores Suite 364
Lake Melissa, IA 15348",19.07499425, Sales,f,10.0,1.25980291,100.609375,9.549109095,0.0,446.06991910000005,0.42336411799999996,"White|United-States
Some-college -- Never-married|Own-child",130849.0,1.0,40.36169176, <=50K,0.7224080270000001,15.0,0.0, Private
73,Melvin Vancleave,"0662 Casey Dam Suite 346
Johnfurt, AR 41537",9.708836093, Exec-managerial,f,11.0,1.881021871,102.03125,14.55399494,0.0,120.3259472,0.561365225,"White|Greece
Assoc-voc -- Married-civ-spouse|Husband",134854.0,0.0,36.57781463, >50K,2.409698997,40.0,0.0, Self-emp-inc
74,Barry Pruett,"682 Brenda Road
North Frankmouth, NE 72969",0.667374229, Craft_repair,f,10.0,10.49724938,29.96875,73.82912502,0.0,-0.641268031,3.327600124,"White|United-States
Some-college -- Married-civ-spouse|Husband",37869.0,1.0,48.85228652, <=50K,73.74247492,40.0,0.0, Private
75,Charles Munos,"1161 Cheyenne Estates
Lake Jenniferland, SD 27333",5.181513792, Prof-specialty,f,10.0,2.6058261380000003,77.0234375,36.83023007,0.0,26.51027772,1.268602281,"White|United-States
Some-college -- Divorced|Not-in-family",24694.0,1.0,44.50675244, <=50K,7.808528428,40.0,0.0, Private
76,Roy Shunk,"0364 Susan Springs Apt. 117
Robertburgh, OH 90949",7.4345777339999986, Prof-specialty,f,13.0,-0.395729262,127.5703125,24.7504697,5013.0,56.24746889,-0.02729173,"White|United-States
Bachelors -- Married-civ-spouse|Husband",259510.0,1.0,52.57742559, <=50K,3.480769231,30.0,0.0, Private
77,Scott Reimold,"4555 Sean Landing Suite 788
Jamestown, AK 58349",10.65714715, Craft-repair,f,5.0,0.248353871,,14.79274602,0.0,129.8683269,0.052225667999999996,"White|United-States
9th -- Married-civ-spouse|Husband",135786.0,0.0,41.80659569, <=50K,1.647157191,25.0,0.0, Local-gov
78,David Swager,"44040 David Canyon
East Matthew, PA 87336",11.15306167, Transport_moving,f,9.0,0.836075077,106.640625,13.55102303,2414.0,153.1954245,0.408364336,"White|United-States
HS-grad -- Married-civ-spouse|Husband",172949.0,0.0,38.56442142, <=50K,1.75083612,20.0,0.0, Without-pay
79,Lance Black,"5504 Cook Pass Suite 642
Josephside, AL 44758",7.829813671, Machine-op-inspct,f,9.0,0.20349255800000002,126.859375,20.38226718,0.0,70.00080537,0.001818485,"White|United-States
HS-grad -- Never-married|Own-child",163870.0,0.0,45.45150822, <=50K,3.3896321069999997,40.0,0.0, Private
80,Brian Bandy,"5629 Hardin Inlet
South Robert, CT 35060",2.237568854, Adm-clerical,t,10.0,10.33615918,61.546875,57.33218925,0.0,4.322240734,3.0244887589999996,"White|Mexico
Some-college -- Never-married|Own-child",215495.0,1.0,-3890.128922, <=50K,27.79347826,40.0,0.0, Private
81,Perry Srour,"810 Barbara Ferry
Matthewview, OK 05599",0.286947639, Adm-clerical,f,10.0,9.41460999,30.8359375,47.29665893,0.0,0.862177637,3.11998017,"Black|United-States
Some-college -- Never-married|Unmarried",30771.0,1.0,-4874.275224, <=50K,135.777592,40.0,0.0, Private
82,Raymond Smith,"53487 Scott Extensions Apt. 824
Mccartytown, MA 94793",15.3816049, Craft-repair,f,10.0,0.093926219,,10.51244096,0.0,309.6778368,0.360482542,"White|United-States
Some-college -- Married-civ-spouse|Husband",147755.0,0.0,48.48420128, <=50K,1.1304347829999999,40.0,1672.0, Private
83,Richard Ackerman,"083 Aguirre Summit Suite 077
Port Mckenzie, MA 53402",8.06281385, Handlers-cleaners,f,9.0,-0.751058764,,25.67603437,0.0,67.30457833,-0.11674317099999999,"White|United-States
HS-grad -- Divorced|Not-in-family",161387.0,0.0,56.13419014, <=50K,3.9205685619999997,16.0,0.0, Private
84,Art Amundson,"839 Richard Wells Suite 814
North Dustinberg, AR 76838",9.824264134, Exec-managerial,f,13.0,0.16902591600000005,,13.79959363,6418.0,131.255938,0.037889308,"White|United-States
Bachelors -- Married-civ-spouse|Husband",169717.0,0.0,45.89516478, >50K,2.326086957,45.0,0.0, Self-emp-inc
85,Manuel Dupre,"216 Elliott Squares
Lake Breannaborough, MD 31637",1.471150786, Other-service,f,9.0,1.359279387,133.828125,72.85087803,0.0,0.205181974,0.21920764399999998,"White|United-States
HS-grad -- Never-married|Own-child",263932.0,0.0,37.74422749, <=50K,37.06772575,20.0,0.0, Private
86,John Moody,"9089 Troy Estates Apt. 992
South Jeremy, TX 86023",16.31516372, Craft-repair,FALSE,9.0,0.960033123,108.3515625,10.56058172,0.0,322.3072213,0.585348698,"White|United-States
HS-grad -- Divorced|Unmarried",163027.0,0.0,45.29134676, <=50K,0.8612040129999999,50.0,0.0, Private
87,Jacob Eckard,"51828 Hansen Trail Apt. 661
Patriciaton, SC 68558",18.16535793, Sales,f,13.0,-0.515155719,141.5625,12.44141392,0.0,341.5284873,-0.368956326,"White|United-States
Bachelors -- Married-civ-spouse|Husband",27385.0,0.0,52.45976881, <=50K,0.767558528,10.0,0.0, Self-emp-not-inc
